TRICK	                    PATTERN            	XML_DISPLAY_LINE_NUMBER

4 Balls out of a 5-Cascade	55550				13
--55550	                    55550				359


552	                        552				    14
--552	                        552				    361


5551	                    5551				15
--5551	                    5551				360


--Multi-Mills Mess	        [34]23				100
4 Ball (Orinoco)	        [34]23				347


53	                        53				    137
--53	                        53				    362


753	                        753				    145
--753	                        753				    326


64	                        64				    149
--64	                        64				    329
--64	                        64				    371


66661	                    66661				150
--66661	                    66661				368


[34]1	                    [34]1				160
--[34]1	                    [34]1				211


xvtrpnljhfdb97531	        xvtrpnljhfdb97531	198
--531-Extended	            xvtrpnljhfdb97531	393


[34]	                    [34]				208
--[34]	                    [34]				350


6316131	                    6316131				212
--6316131 	                6316131				233


55514	                    55514				213
--55514	                    55514				364


75661	                    75661				280
--75661	                    75661				332


5 Balls Peter Gunn	        33536479			309
--5-Balls Peter Gunn Them	    33536479			344


663	                        663				    313
--663	                        663				    370


645	                        645				    330
--645	                        645				    376


6662	                    6662				331
--6662	                    6662				369

